formula,target
Ca2 La1 Mn0.002 Nb0.998 O6,1
Ba2 Mo1 Na1 O5.47,1
H12 Ni1 O10 S1,0
Cl2 Hg3 O2,0
Co0.2 Li1 Mn0.4 Ni0.4 O2,1
Cu0.5 Mo1 O4 Zn0.5,1
Ca0.4 Fe1.8 Mn0.8 O8 P2,1
Co3 Li2 O12 Se4,0
Au0.001 Mg0.999,1
Ce1 Ge3 Pd5,0
Ni1 Sn1 Tb1,0
Co1 Nd1.4 O4 Sr0.6,1
Fe1 Mo1 O6 Sm0.15 Sr1.85,1
Ni1.297 Te1,1
Li4 Mg1 O6 Te1,1
Al2.999 B4 Co0.001 O12 Y1,1
Ba1 Fe11.5 Gd0.5 O19,1
Be1 Ga3 Ge2 O14 Sm3,1
Bi0.52 Na0.48 O3 Ti1,1
 H3.32 Al7.8 B3.23 Ca0.16 F0.58 Li1.08 Mn0.01 Na0.51 O30.42 Si5.77,1
C4 H8 Cu1 O8,0
Ca1 Ho1 O2.5,1
Al2 B2 Fe3,0
Bi1.912 Ir2 O6.815,1
As1 Ni2 Si1,0
Ca2.4 Cu3 O8.652 Pb0.312 Sr1.6 Tl0.5,1
Ir0.816 Mo0.184,1
F5 K2 Ti1,0
Ga1 S1.208 Se6.792 V4,1
Co1.14 Sn1.14 Ti1,1
Ge2 Mn1 Zr1,0
Eu0.024 O4 P1 Sc0.943 Tb0.033,1
C1 B4 Cl6 O1,0
Au4.57 Ca11 Cd17.43,1
Fe0.5 La4 Nb0.5 O14 Ti3,1
 H2 Al3.26 Ca1.14 Fe3.27 K0.96 Mg0.33 Mn0.1 Na1.33 O24 Si6 Ti0.06,1
Ir1 Sb1 Y1,0
Ca0.08 Cu1 La1.92 O4,1
Al1 Ce1 Ge1,1
Ba2 Ca1 Cu2 Hg0.77 O6.65 Re0.163,1
In3 Yb8,0
O2 Pb1,0
Co2 P2 Pr1,1
Co1 Lu3,0
F7 K1 Rb2 Si1,1
H12 Br2 Co1 O6,0
Ir1 W1,1
Fe2.092 O4 Ti0.908,1
Co2 Gd0.5 Ni3 Sm0.5,1
La3 Li1 Mn1 O8 Sr1,1
Na1 O6 Si2 Tb1,0
Er2 O4 S1 Si1,0
Al2 Si2 Y1,0
Co1 Na1 O6 W1 Y1,0
Ca0.116 Fe0.66 Mg1.23 O6 Si2,1
Li1 Se2 Sm1,1
C0.07 Mn3 N0.93 Zn1,1
Ba1 Ni1 O5 Tm2,0
Bi1 Li1 O2,0
In2 S4 Zn1,1
Cu0.25 S1 Ti0.5,1
Al1.49 Cr0.51 Mg1 O4,1
Er0.062 O4 P0.062 Si0.962 Zr0.938,1
Rh1 Sc3 Si3,0
F1 Gd1 Na1 O12 P3 Sr3,0
Al2 Dy0.6 Ho0.4,1
Ce1 Co1 Si2,0
C2 Ba2 F3 Gd1 O6,0
Cd4 N12 P6 S1,0
Cu1 Sn1 Zr1,0
Co1 O8 P2 Sr2,0
Ca2 O4 Pb1,0
Fe2 Mn0.55 O4 Zn0.45,1
C12 H4 Mn4 O16,0
Bi3.1 Cl1 La0.5 Nb0.6 O8 Pb0.4 W0.4,1
H2 O4 S2 Sr1,0
Ag0.35 Ca1 Cu2 La1.65 O6,1
B1 Pd3 Yb1,0
Ag5.05 As6.6 Cu0.5 O1 Pb42.325 S112 Sb38.525,1
Al3 Li1 N4 Sr1,0
Ag1 Bi0.56 Pb0.14 Sb0.3 Se2,1
Li2 O4 S1,0
As2 Fe2 Na0.2 Sr0.8,1
Fe3 Th0.9 Y0.1,1
C7 H23 F5 N2 O1 Si1,1
Cr0.1 Fe1.9 O4 Zn1,1
Br4 Cs2 Se8 Tc6,0
Al1 B2 Co0.075 Fe1.925,1
Fe1 Nb3 S6,0
Ca1 Gd2 S4,1
Ir1 Nd2 Ni1 O6,0
As4 Ba3 Zn2,0
C4.002 Cu1 Fe0.667 N4.002,1
Cd0.72 Cu3.64 Ga3.64 S8,1
Ge0.45 Mn1.55,1
Cr0.6 Fe0.067 O4 Sb0.667 V0.667,1
Bi0.3 In1.7 O6 Te1,1
C30 H30 F4 N6 O26 P4 U5,1
Cu1 Na2 P1,0
Cd2 Sb2 Sr1,0
Al0.2 Ce1 Ga1.8,1
Al11.6 La0.85 O18.675,1
C12 Cl2 O12 Os3,1
Cs2 O11 V4,1
In16 Li8 S32 Sn4,1
Cd18.2 Pr3,1
C4 H16 Cd1 N10 O6 S4,0
Ba2 F2 O2 Pd1,0
Al11 Na1.22 O17.11,1
O3 V2,0
Cl8 Cu2 O11 Pb5 Te4,1
Dy2 Sb5,0
Ce3 Ru1 Sn6,0
Pb3 Zr5,0
Fe2.16 Mg0.31 O4 Si0.53,1
F2 O3 S1 Xe1,0
Al1 Sn3 Zr5,0
Fe13 Hg1 Nd6,0
Ca2 La1 Mn2 O7,1
H6 Al1 La1,0
Cs7.8 Si46,1
Ca2.4 Ce0.6 Fe2.9 O12 Zr2,1
Nb0.018 O2 Pt0.013 Sn0.969,1
Co2 Nb4 O1,0
C8 H24 Fe1 K1 N20,1
Fe1 O5.5 Ru1 Sr3,1
C1 Al4 N3 O1,0
N5 Nb4,0
Ir3 La1,0
Cu0.69 Nb1 Te2,1
B2 Co1 O6 Sr2,0
Dy2.66 O6.67 Ti1.34,1
C1 Hg0.8 Ti3.2,1
