,formula,target
436,Ba0.98 La0.01 Na0.01 O3 Ti1,1
437,Au1.5 Pr1 Sb0.5,1
438,La5 Si3,0
439,B2 Hf2.83 Ru5.17,1
440,Fe0.55 Mn0.45 Pd3,1
441,Be2 O5 Sr3,0
442,Ba1 Cu1 Eu0.2 Fe1 La0.8 O5.11,3
443,Ca3 Cr1 N3,0
444,B2 Eu1 O4,0
445,Ce0.85 La0.15 O1.927,3
446,Co2 Gd2 O7 Sr1,1
447,Al1 Zr1,0
448,Bi1.4 Eu0.1 Li0.4 Mg0.5 Nb1.5 O6.7,3
449,Ag2 Ce1 O14 S1 Te4,0
450,Ga1.77 Ni12 Pu8 Si18.23,1
451,Ga2 O8 Si2 Sr1,1
452,As3 Bi7 Mo2 O24,0
453,Br7 La4 N0.9 O0.1,1
454,Fe1 Hf9 Mo4,0
455,Th2 Tl1,0
456,Li0.4 Ni1.6 O2,1
457,Co6 Sn20 Tm2.22,2
458,Al0.68 Ca1.12 Fe4.34 Mg0.073 O10 Si0.38,3
459,C1 U0.32 Zr0.68,1
460,Li6 O7 Tb2,0
461,Hg1 In1 S3 Tl1,0
462,As4 Eu2 Na4 Sn1,1
463,Al0.27 Ge2 Y1,2
464,B2 Rh3 Tm0.5,2
465,K2 Pd3 Se4,0
466,Ag0.25 Ga0.25 Ge0.75 Se2,3
467,Ce1.88 In8 Rh0.97,2
468,Ga1.63 K1.63 O16 Ti6.37,3
469,B2 F1 Li0.8 Mg2.1 O5,3
470,Mg2.36 Sb2 Zn0.64,1
471,Al1.04 Eu2 Mg9.36,3
472,Fe0.43 K1 Nb1.57 O5,1
473,Nd2 Pb1 S8 Si2,1
474,Co1 Na2 O4 Si1,3
475,Ce0.2 Gd0.3 Th0.5,1
476,Ir2 Si2 U1,0
477,Cu1 Dy2 O6 Ti1,1
478,Ba1 O6 Se2 Zn1,0
479,Ge1 Lu1 Ni1,0
480,Cs1.5 Mo2 O11 P2,2
481,Ce1 Rh3,0
482,Mo13 O33,2
483,Cl4 Mn1 Na2,0
484,Br6 Na3 Sc1,0
485,C14 Fe4 Mo1 O14 Se2 Te2,1
486,Ho1 Na5 O16 W4,0
487,Cu0.5 Mn1.5 Si1,1
488,Li1 O2 Ru1,0
489,Li1 Mg0.5 Mn1.5 O4,1
490,O7 Se2 U1,0
491,Al1 Ca2 Ga1 O5,1
492,Ho1 Sc1 Si1,1
493,As2 Ca1 Zn2,0
494,Ca3 Cr2 O12 Si2.47 Ti0.53,1
495,Bi0.83 Fe1 Nd0.17 O3,1
496,Ba2 Ca1 Cr2 Cu1 F14,0
497,Mg2 Sb2 Yb1,0
498,Al1 Gd1 Ge2 Zn1,1
499,Mo0.08 O5 V1.92,1
500,C2 N4 O8 Rb2 S2 U1,0
501,Mn41.14 Mo1.66 Si10.2,1
502,Co1 Fe1 Y1,1
503,Ho3 In3.8 Ni2.2,1
504,K8 Pd0.51 Tl11,2
505,Nb5 Se8 Sr1,0
506,Ga10.308 Mg42.692 Pd13,1
